[2026-09-14T11:37:20.312Z] [ERROR] [SYSTEM] [DB] Sample error entry | data: {"code":500}
[2026-09-21T05:16:58.430Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_20_BEdiamond_BEcolorStone_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond_BEcolorStone_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.439Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_20_BEdiamond1_BEcolorStone1_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond1_BEcolorStone1_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.448Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_20_BEdiamond2_BEcolorStone2_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond2_BEcolorStone2_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.459Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_21_hir_HIR_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_21_hir_HIR_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.468Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_22_hi2_hir2_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_22_hi2_hir2_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.492Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_23_hir3_hir3_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_23_hir3_hir3_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:16:58.501Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_24_testing_testing_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_24_testing_testing_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T05:51:04.211Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L1_Ddhruv_CRetail_S1] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_1_dhruv_Retail_1"}
[2026-09-21T05:51:04.826Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L2_DkayraHKD_CkayracsHKD_S4] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_2_kayraHKD_kayracsHKD_4"}
[2026-09-21T05:51:05.208Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L7_Ddhrdiamond_Cdhrcolormisc_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_7_dhrdiamond_dhrcolormisc_8"}
[2026-09-21T05:51:05.507Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L14_Ddhrdiamond_Cdhrcolormisc_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_14_dhrdiamond_dhrcolormisc_8"}
