[2026-09-14T11:37:20.312Z] [ERROR] [SYSTEM] [DB] Sample error entry | data: {"code":500}
[2026-09-21T08:21:05.337Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_1_dhruv_Retail_1: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_1_dhruv_Retail_1","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.348Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_2_kayraHKD_kayracsHKD_4: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_2_kayraHKD_kayracsHKD_4","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.362Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_7_dhrdiamond_dhrcolormisc_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_7_dhrdiamond_dhrcolormisc_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.376Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_14_dhrdiamond_dhrcolormisc_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_14_dhrdiamond_dhrcolormisc_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.387Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_16_hir_demo_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_16_hir_demo_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.407Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_20_BEdiamond_BEcolorStone_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond_BEcolorStone_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.428Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_20_BEdiamond1_BEcolorStone1_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond1_BEcolorStone1_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.441Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_20_BEdiamond2_BEcolorStone2_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond2_BEcolorStone2_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.451Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_21_hir_HIR_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_21_hir_HIR_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.460Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_22_hi2_hir2_11: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_22_hi2_hir2_11","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.469Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_23_hir3_hir3_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_23_hir3_hir3_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.481Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_24_testing_testing_8: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_24_testing_testing_8","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:21:05.492Z] [ERROR] [beluxjewel.web] [DYNAMIC_SYNC] ERP API fetch failed for table design_Productlist_24_testing_testing_0: HTTP 400: {"Status":"400","Message":"Missing or invalid headers: 'sv'.","Data":[]} | data: {"domain":"beluxjewel.web","table":"design_Productlist_24_testing_testing_0","endpoint":"http://newnextjs.web/api/report","error":"HTTP 400: {\"Status\":\"400\",\"Message\":\"Missing or invalid headers: 'sv'.\",\"Data\":[]}"}
[2026-09-21T08:22:45.057Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:22:45.938Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:22:48.108Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:22:48.973Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:22:51.830Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:22:52.444Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:22:59.973Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:23:55.215Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:23:56.348Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:23:58.668Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:23:59.404Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T09:40:47.046Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T09:40:48.029Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
