[2026-09-16T11:04:47.166Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] [TABLE PICKED] Tenant 'beluxjewel.web' → Queried Table: 'design_Productlist_24_testing_testing_8' (Candidate: 'design_Productlist_24_testing_testing_8') | Results: 119 total, 10 returned | data: {"domain":"beluxjewel.web","pickedTable":"design_Productlist_24_testing_testing_8","candidateTable":"design_Productlist_24_testing_testing_8","tableMatched":true,"totalCount":119,"returned":10}
[2026-09-16T11:04:47.180Z] [INFO] [beluxjewel.web] [FILTERS_QUERY] [FILTERS GENERATED] Tenant 'beluxjewel.web' → 14 filter sections returned | data: {"domain":"beluxjewel.web","sectionsCount":14,"sections":["Collection","Category","SubCategory","Brand","Gender","Ocassion","Theme","Producttype","MetalColor","Price","Gross","NetWt","Diamond","Colorstone"]}
[2026-09-16T11:05:16.004Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] Executing getSqliteProducts for tenant 'beluxjewel.web' | data: {"domain":"beluxjewel.web","tableName":"design_Productlist_24_testing_testing_8","policy":{"Laboursetid":24,"diamondpricelistName":"testing","colorstonepricelistName":"testing","SettingPriceUniqueNo":8},"activeFilters":{"isLoggedIn":true,"Laboursetid":24,"laboursetid":24,"pricemanagement_laboursetid":24,"diamondpricelistName":"testing","diamondpricelistname":"testing","Diamondpricelistname":"testing","colorstonepricelistName":"testing","colorstonepricelistname":"testing","Colorstonepricelistname":"testing","SettingPriceUniqueNo":8,"settingpriceuniqueno":8,"FrontEnd_RegNo":"80kgizbiduw5e7gg","PackageId":10,"packageId":10,"tableName":"design_Productlist_24_testing_testing_8","page":1,"pageSize":10}}
[2026-09-16T11:05:16.008Z] [INFO] [beluxjewel.web] [PRODUCT_QUERY] [TABLE PICKED] Tenant 'beluxjewel.web' → Queried Table: 'design_Productlist_24_testing_testing_8' (Candidate: 'design_Productlist_24_testing_testing_8') | Results: 119 total, 10 returned | data: {"domain":"beluxjewel.web","pickedTable":"design_Productlist_24_testing_testing_8","candidateTable":"design_Productlist_24_testing_testing_8","tableMatched":true,"totalCount":119,"returned":10}
[2026-09-16T11:05:16.018Z] [INFO] [beluxjewel.web] [FILTERS_QUERY] [FILTERS GENERATED] Tenant 'beluxjewel.web' → 14 filter sections returned | data: {"domain":"beluxjewel.web","sectionsCount":14,"sections":["Collection","Category","SubCategory","Brand","Gender","Ocassion","Theme","Producttype","MetalColor","Price","Gross","NetWt","Diamond","Colorstone"]}
[2026-09-16T11:05:19.909Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:05:19.912Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:08:17.132Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:08:17.135Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:08:18.949Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:08:18.952Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:08:26.704Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:08:26.705Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:08:27.827Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:08:27.829Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:08:51.112Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:08:51.114Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:08:58.515Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:08:58.517Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:09:03.023Z] [INFO] [beluxjewel.web] [HOME_BESTSELLER] Fetched 1 bestsellers from 'design_Productlist_24_testing_testing_8' for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","table":"design_Productlist_24_testing_testing_8","count":1}
[2026-09-16T11:09:04.560Z] [INFO] [beluxjewel.web] [HOME_SECTION] Fetched 1 'bestseller' items from 'design_Productlist_20_BEdiamond_BEcolorStone_11' for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","type":"bestseller","table":"design_Productlist_20_BEdiamond_BEcolorStone_11","count":1}
[2026-09-16T11:09:06.846Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:09:06.848Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:09:07.298Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:09:07.300Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:11:06.911Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:11:06.913Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:11:14.987Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:11:14.990Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:11:15.634Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:11:15.636Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:11:23.025Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:11:23.027Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:11:24.047Z] [INFO] [beluxjewel.web] [STORE_INIT] Fetching StoreInit configuration for tenant: 'beluxjewel.web' | data: {"domain":"beluxjewel.web"}
[2026-09-16T11:11:24.050Z] [INFO] [beluxjewel.web] [STORE_INIT] Successfully retrieved StoreInit for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","rd":1,"rd1":27,"rd2":1}
[2026-09-16T11:11:39.653Z] [INFO] [beluxjewel.web] [HOME_BESTSELLER] Fetched 1 bestsellers from 'design_Productlist_20_BEdiamond_BEcolorStone_11' for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","table":"design_Productlist_20_BEdiamond_BEcolorStone_11","count":1}
[2026-09-16T11:11:42.809Z] [INFO] [beluxjewel.web] [HOME_BESTSELLER] Fetched 1 bestsellers from 'design_Productlist_24_testing_testing_8' for 'beluxjewel.web' | data: {"domain":"beluxjewel.web","table":"design_Productlist_24_testing_testing_8","count":1}
